
> jingxin@0.1.0 corpus:gen
> tsx scripts/gen-corpus.ts --resume

Generated P181n1612: juans=1 blocks=157
Generated P181n1615: juans=13 blocks=2719
Generated P182n1615: juans=22 blocks=4890
Generated P183n1615: juans=3 blocks=509
Generated P184n1617: juans=12 blocks=1638
Progress 650/4602 blocks=730052 skipped=0 errors=0
Generated P185n1617: juans=7 blocks=844
Generated P185n1618: juans=20 blocks=1486
Generated P189n1629: juans=9 blocks=609
Generated P189n1630: juans=1 blocks=4
Generated S06n0046: juans=2 blocks=173
Generated S06n0047: juans=1 blocks=1
Generated T01n0002: juans=1 blocks=79
Generated T01n0003: juans=2 blocks=65
